Program;Organization;Funding;Program Eligibility;Use of Funds;Area;Type of Fund;Targeted Applicants;Phone Number;Website;Zipcodes
Microloan Program for Women and Minority-Owned Businesses;Benton-Franklin Council of Governments;$2,000 to $25,000;Women- and minority-owned businesses in the BFCG service area;Contact provider;Washington (WA);Loan - Microloan;Women, Minorities;(509) 943-9185;https://bfcog.us/loan-programs-overview/;98944, 99301, 99320, 99323, 99324, 99326, 99328, 99330, 99336, 99337, 99338, 99343, 99345, 99346, 99348, 99350, 99352, 99353, 99354, 99359, 99360, 99361, 99362, 99329, 99335, 99363
Microloan Revolving Program;Benton-Franklin Council of Governments;$500 to $50,000;Startup or expanding businesses;Contact provider;Washington (WA);Loan - Microloan;Not specified;(509) 943-9185;https://bfcog.us/loan-programs-overview/;98944, 99301, 99320, 99323, 99324, 99326, 99328, 99330, 99336, 99337, 99338, 99343, 99345, 99346, 99348, 99350, 99352, 99353, 99354, 99359, 99360, 99361, 99362, 99329, 99335, 99363
Revolving Loan Fund;3CORE;$25,000 to $250,000;Businesses in Butte, Glenn, or Tehama counties;Working capital, building or land acquisition, business acquisition, business expansion or startup, furniture and fixtures, machinery and equipment, leasehold improvements, lines of credit;California (CA);Loan - Revolving Loan Fund;Not specified;(530) 893-8732;https://3coreedc.org/loan-program/;95914, 95916, 95917, 95926, 95928, 95938, 95939, 95941, 95942, 95943, 95948, 95951, 95954, 95963, 95965, 95966, 95920, 95930, 95968, 95969, 95973, 95974, 95988, 96021, 96022, 96035, 96055, 96029, 95978, 96059, 96061, 96063, 96080, 96092, 96074, 96075, 96090
Revolving Loan Fund;Alabama-Tombigbee Regional Commission;$10,000 to $150,000;For-profit businesses, small manufacturing companies, manufacturing related services, and developing services located in Choctaw, Clarke, Conecuh, Dallas, Marengo, Monroe, Perry, Sumter, Washington, or Wilcox counties;Building or land acquisition, construction or renovation, machinery and equipment, working capital;Alabama (AL);Loan - Revolving Loan Fund;Not specified;(334) 682-4234;http://www.atrcregion6.com/development;36904, 36907, 36908, 36912, 36916, 36910, 36915, 36901, 36913, 36701, 36703, 36722, 36720, 36723, 36726, 36728, 36732, 36736, 36738, 36742, 36748, 36751, 36727, 36756, 36759, 36761, 36765, 36767, 36768, 36769, 36773, 36775, 36782, 36783, 36754, 36766, 36753, 36763, 36784, 36786, 36793, 36919, 36921, 36925, 36922, 35459, 35460, 35464, 35470, 35477, 36401, 36425, 36432, 36435, 36436, 36439, 36444, 36445, 36446, 36451, 36460, 36471, 36475, 36480, 36482, 36513, 36518, 36524, 36539, 36540, 36545, 36548, 36553, 36473, 36529, 36454, 36470, 36481, 36538, 36558, 36569, 36583, 36584, 36556, 36581, 36585
Revolving Loan Fund;Apalachee Regional Planning Council;Average of $25,000;Small businesses in Calhoun, Franklin, Gadsden, Gulf, Jackson, Jefferson, Leon, Liberty, or Wakulla counties;Working capital, fixed assets;Florida (FL);Loan - Revolving Loan Fund;Not specified;(850) 488-6211;https://www.arpc.org/revolving-loan-fund;32301, 32303, 32304, 32305, 32308, 32309, 32310, 32311, 32312, 32317, 32320, 32321, 32322, 32324, 32327, 32323, 32328, 32330, 32332, 32333, 32334, 32343, 32344, 32346, 32351, 32352, 32355, 32358, 32361, 32399, 32420, 32421, 32423, 32424, 32426, 32430, 32431, 32440, 32442, 32443, 32445, 32446, 32447, 32448, 32449, 32456, 32460, 32465, 32432
Revolving Loan Fund;Buckeye Hills Hocking Valley Regional Development District;Up to $150,000;Existing or new for-profit businesses, partnerships, cooperatives or corporations engaged in manufacturing, service or retail activities in Buckeye Hills, including Athens, Hocking, Meigs, Monroe, Morgan, Noble, Perry and Washington;Building or land acquisition and improvements, construction, machinery and equipment, working or start‐up capital;Ohio (OH);Loan - Revolving Loan Fund;Not specified;(740) 374-9436;https://buckeyehills.org/business-workforce;43779, 43780, 43782, 43783, 43787, 43786, 43793, 43788, 43915, 43914, 43111, 43931, 43127, 45701, 45710, 45711, 45714, 45715, 45716, 45719, 45723, 45724, 45727, 45729, 45732, 45734, 45735, 45742, 45743, 45744, 45745, 45750, 45760, 45761, 45764, 45766, 45767, 45768, 45769, 45770, 45771, 45772, 45773, 45775, 45776, 45778, 45779, 45780, 45741, 45746, 45721, 45740, 45784, 45786, 45788, 45782, 45787, 45789, 43135, 43138, 43149, 43144, 43760, 43764, 43766, 43761, 43772, 43152, 43158, 43946, 43076, 43716, 43717, 43711, 43724, 43728, 43730, 43731, 43739, 43747, 43748, 43754, 43756, 43758
Revolving Loan Fund;East Alabama Regional Planning & Development Commission;Up to $250,000;For-profit businesses, small and medium-size businesses, new entrepreneurial ventures, and manufacturing businesses located in Calhoun, Chambers, Cherokee, Clay, Cleburne, Coosa, Etowah, Randolph, Talladega, and Tallapoosa counties;Building or land acquisition, financing and development of new businesses, construction or renovation, machinery and equipment, working capital;Alabama (AL);Loan - Revolving Loan Fund;Not specified;(256) 237-6741;http://www.earpdc.org/pages/?pageID=36;36850, 36852, 36853, 36854, 36855, 36861, 36862, 36863, 35010, 35014, 35901, 35903, 35904, 35905, 35906, 35907, 35150, 35151, 35160, 35183, 35952, 35954, 35956, 35032, 35044, 35072, 35089, 35096, 35082, 35959, 35960, 35972, 35973, 35983, 36026, 35990, 36207, 36250, 36251, 36255, 36256, 36258, 36260, 36262, 36263, 36264, 36265, 36266, 36268, 36269, 36201, 36203, 36205, 36206, 36267, 36271, 36272, 36273, 35136, 35149, 36274, 36276, 36277, 36278, 36279, 36280
EDA Revolving Loan Fund Program;Greater Nashville Regional Council;Up to $200,000;Small businesses;Business operations;Tennessee (TN);Loan - Revolving Loan Fund;Not specified;(615) 862-8828;https://www.gnrc.org/212/Small-Business-Lending;37101, 37115, 37118, 37122, 37127, 37128, 37129, 37049, 37050, 37051, 37052, 37055, 37057, 37058, 37060, 37061, 37062, 37064, 37066, 37067, 37069, 42223, 37072, 37073, 37206, 37207, 37208, 37209, 37210, 37211, 37212, 37213, 37214, 37215, 37216, 37217, 37218, 37219, 37220, 37221, 37228, 37240, 37243, 37246, 37130, 37134, 37135, 37138, 37141, 37142, 37132, 37143, 37146, 37148, 37149, 37153, 37165, 37167, 37171, 37172, 37175, 37178, 37179, 37181, 37184, 37185, 37186, 37187, 37010, 37013, 37014, 37015, 37020, 37022, 37023, 37027, 37028, 37029, 37031, 37032, 37035, 37036, 37037, 37040, 37042, 37043, 37046, 37048, 37074, 37075, 37076, 37078, 37079, 37080, 37082, 37085, 37086, 37087, 37090, 37188, 37189, 37191, 37201, 37203, 37204, 37205
Rural Microentrepreneur Assistance Program;Lake Agassiz Development Group;Up to $50,000;Small rural businesses;Working capital, inventory, real estate purchases, supplies, furniture and fixtures, raw materials, machinery, equipment;North Dakota (ND);Loan - Microloan;Not specified;(701) 235-1197;https://www.lakeagassiz.com/business-lending/rural-microentrepreneur-assistance-program-rmap/;58041, 58042, 58043, 58045, 58046, 58047, 58048, 58051, 58052, 58053, 58054, 58057, 58058, 58059, 58060, 58061, 58064, 58067, 58068, 58071, 58075, 58077, 58069, 58076, 58078, 58079, 58081, 58102, 58103, 58104, 58218, 58219, 58105, 58223, 58230, 58240, 58001, 58004, 58005, 58006, 58008, 58011, 58012, 58013, 58015, 58016, 58007, 58002, 58009, 58017, 58018, 58021, 58027, 58030, 58031, 58032, 58033, 58035, 58036, 58038, 58040, 58029, 58257, 58274, 58277
COVID-19 Emergency Loan Program;Southside Planning District Commission;Up to $5,000;Small businesses located in Halifax, Mecklenburg, or Brunswick counties;Working capital;Virginia (VA);COVID-19 Specific Loan;Not specified;(434) 447-7101;http://www.southsidepdc.org/index.php/54-miscellaneous/176-covid-19-emergency-loan-information;23887, 23889, 24520, 24529, 24534, 24539, 24558, 24577, 24580, 24589, 24592, 24594, 24597, 24598, 23843, 23845, 23856, 23857, 23868, 23876, 23821, 23893, 23915, 23917, 23919, 23920, 23924, 23927, 23938, 23950, 23968, 23970
Revolving Loan Fund;Southside Planning District Commission;$50,000 to $250,000;Locally based industries in the Virginia counties of Brunswick, Halifax, and Mecklenburg;Land, buildings, machinery and equipment, land improvements, renovation or major additions, construction, working capital;Virginia (VA);Loan - Revolving Loan Fund;Not specified;(434) 447-7101;http://www.southsidepdc.org/index.php/services/lcdc;23887, 23889, 24520, 24529, 24534, 24539, 24558, 24577, 24580, 24589, 24592, 24594, 24597, 24598, 23843, 23845, 23856, 23857, 23868, 23876, 23821, 23893, 23915, 23917, 23919, 23920, 23924, 23927, 23938, 23950, 23968, 23970
Revolving Loan Fund;Lee-Russell Council of Governments;$50,000 to $200,000;For-profit businesses, new and existing businesses in Lee or Russell County involved in manufacturing, distribution, service and similar endeavors ;Building or land acquisition, construction or renovation, machinery and equipment, working capital;Alabama (AL);Loan - Revolving Loan Fund;Not specified;(334) 749-5264;http://www.lrcog.com/planning.html;36804, 36830, 36832, 36849, 36856, 36858, 36860, 36865, 36859, 36867, 36869, 36870, 36871, 36874, 36875, 36877, 36879, 36801
OBDF Oregon Business Development Fund;Mid-Willamette Valley Council of Governments;Up to $1,000,000;Manufacturing, processing, and tourism-related businesses;Land, building acquisition, new construction, equipment, term working capital;Oregon (OR);Loan;Not specified;(503) 588-6177;http://www.mwvcog.org/programs/small-business-financing/;97002, 97020, 97026, 97032, 97071, 97127, 97101, 97111, 97114, 97115, 97128, 97132, 97137, 97148, 97301, 97302, 97303, 97304, 97305, 97306, 97317, 97325, 97338, 97342, 97344, 97346, 97347, 97351, 97352, 97358, 97360, 97361, 97362, 97371, 97375, 97378, 97381, 97383, 97385, 97392, 97396, 97384, 97373
MS Small Business Assistance Loan Program;North Central Planning and Development District;Up to $250,000;For-profit business with less than 100 full-time employees, less than $2 million net worth, less than $350,000 net annual revenues;Land, building, furniture and fixtures, equipment, inventory, working capital;Mississippi (MS);Loan;Not specified;(662) 283-2771;http://ncpdd.info/loan-division;38917, 38925, 38943, 38967, 38947, 38923, 38924, 39747, 39063, 39079, 39095, 39169, 39176
Revolving Loan Fund;Northeast Nebraska Economic Development District;Up to $200,000;For-profit businesses located in Antelope, Boone, Boyd, Burt, Brown, Cedar, Colfax, Cuming, Cherry, Dakota, Dixon, Dodge, Douglas (rural), Holt, Keya Paha, Knox, Madison, Nance, Pierce, Platte, Rock, Stanton, Thurston, Washington, and Wayne counties;Land, building, equipment, other fixed assets, working capital;Nebraska (NE);Loan - Revolving Loan Fund;Not specified;(402) 649-7223;https://www.nenedd.org/businessloan.html;68781, 68783, 68784, 68786, 68787, 68788, 68789, 68790, 68791, 68792, 68004, 68019, 68020, 68025, 68031, 68038, 68039, 68044, 68045, 68047, 68055, 68057, 68061, 68062, 68063, 68067, 68071, 68601, 68620, 68623, 68621, 68710, 68627, 68629, 68631, 68633, 68634, 68636, 68638, 68640, 68641, 68642, 68643, 68644, 68647, 68649, 68652, 68653, 68655, 68659, 68660, 68661, 68664, 68701, 68072, 68715, 68716, 68717, 68718, 68720, 68723, 68724, 68726, 68727, 68728, 68729, 68730, 68732, 68736, 68739, 68740, 68745, 68747, 68748, 68749, 68752, 68756, 68757, 68758, 68761, 68764, 68765, 68767, 68768, 68769, 68770, 68771, 68773, 68774, 68779, 68751
Revolving Loan Fund;Southwest Georgia Regional Commission;Contact provider;Small manufacturing companies, manufacturing related services, developing services that have a uniqueness or technology, and other businesses that may help a community improve its development potential;Building or land acquisition, construction or renovation, working capital ;Georgia (GA);Loan - Revolving Loan Fund;Not specified;(229) 522-3552;http://www.swgrc.org/revolving-loan-fund-application/revolving-loan-fund-guidelines/;31784, 31787, 31788, 31789, 31791, 31792, 31795, 31796, 39813, 39815, 39817, 39819, 39823, 39825, 39826, 39827, 39828, 39834, 39837, 39841, 39842, 39845, 39846, 39859, 39861, 39862, 39866, 39870, 39877, 39885, 39897, 31626, 31701, 31705, 31707, 31716, 31721, 31722, 31730, 31738, 31743, 31744, 31747, 31756, 31757, 31763, 31765, 31768, 31771, 31773, 31779, 31781, 31772
Revolving Loan Program;Three Rivers Planning and Development District;Up to $200,000;Small for-profit businesses in Calhoun, Chickasaw, Itawamba, Lafayette, Lee, Monroe, Pontotoc, and Union counties;Land, building, furniture and fixtures, equipment, inventory, working capital;Mississippi (MS);Loan - Revolving Loan Fund;Not specified;(662) 488-6930;http://trpdd.com/loans/;38652, 38655, 38673, 38677, 38801, 38804, 38821, 38826, 38828, 38841, 38843, 38847, 38848, 38849, 38850, 38851, 38855, 38857, 38858, 38860, 38862, 38863, 38864, 38866, 38868, 38869, 38870, 38871, 38876, 38878, 38879, 38914, 38915, 38913, 38844, 38916, 39730, 38650, 38951, 38949, 38601, 39746, 39776, 38627
State Lottery Terminal Fund;Tri-County Council for Western Maryland;$10,000 to $500,000;Businesses located within a 10-mile radius of the five casinos—Hollywood Casino Perryville, Ocean Downs in Worchester County, Maryland Live! in Anne Arundel County, Rocky Gap Casino in Allegany County, and Horseshoe Casino in Baltimore City—and small, minority and women-owned businesses located throughout Maryland;Business acquisition and expansion, purchase of equipment, startup costs, working capital, professional/technical assistance, debt refinancing;Maryland (MD);Loan;Women, Minorities;(301) 689-1300;https://www.tccwmd.org/programs/summit-financing-solutions/;21550, 21555, 21557, 21561, 21562, 21711, 21713, 21719, 21722, 21733, 21734, 21740, 21742, 21750, 21746, 21756, 21766, 21767, 21779, 21782, 21783, 21781, 21795, 21502, 21520, 21521, 21522, 21523, 21524, 21529, 21530, 21531, 21532, 21536, 21538, 21539, 21541, 21543, 21545, 21540, 21542
COVID-19 Business Relief Working Capital Loan Program;Purchase Area Development District;$5,000 to $25,000;Industrial, commercial, agricultural, and service sector businesses economically impacted by the COVID-19 pandemic, located in Ballard, Calloway, Carlisle, Fulton, Graves, Hickman, Marshall, and McCracken counties;Working capital, payroll, fixed asset debt, rent, utilities, supplies, inventory management, payments to suppliers;Kentucky (KY);COVID-19 Specific Loan;Not specified;(270) 251-6170;https://www.purchaseadd.org/businesses/covid-19-business-relief-working-capital-loan-program/;42025, 42027, 42029, 42031, 42035, 42036, 42039, 42040, 42041, 42032, 42044, 42048, 42049, 42050, 42051, 42053, 42054, 42056, 42066, 42069, 42061, 42060, 42071, 42076, 42079, 42082, 42085, 42086, 42087, 42088, 42003, 42020, 42021, 42023, 42024, 42022, 42001
North Central Revolving Loan Fund;North Central Pennsylvania Regional Planning and Development Commission;Up to $400,000;For-profit businesses operating as sole proprietorships, limited liability companies, S-Corporations or C-Corporations;Real estate, machinery and equipment, working capital;Pennsylvania (PA);Loan - Revolving Loan Fund;Not specified;(814) 773-3162;http://www.ncentral.com/;15834, 15840, 15845, 15846, 15848, 15849, 15851, 15853, 15856, 15857, 15860, 15861, 15864, 15865, 15841, 15863, 15847, 15868, 15870, 15866, 17729, 15753, 15757, 15764, 15767, 15770, 15780, 15801, 15821, 15823, 15824, 15825, 15827, 15829, 15781, 15784, 15832, 15776, 15778, 16701, 16720, 16725, 16729, 16731, 16735, 16738, 16740, 16743, 16744, 16745, 16746, 16748, 16749, 16732, 16821, 16726, 16727, 16730, 16724, 16750, 16728, 16733, 16734, 16825, 16830, 16833, 16834, 16836, 16838, 16843, 15711, 16837, 16839, 16840, 16847, 16849, 16858, 16860, 16863, 15715, 16878, 16879, 16881, 16915, 16922, 16923, 16927, 16861, 15730, 16876, 16855, 15721, 15733, 16943, 16948, 15744, 16937, 16941, 16217, 16333, 16620, 16616, 16627, 16645, 16651, 16656, 16661, 16666, 16671, 16680, 16692
Revolving Loan Fund;White River Planning and Development District;Up to $200,000;Small businesses and startups located in WRPDD's 10-county service area;Real estate, equipment, inventory, working capital;Arkansas (AR);Loan - Revolving Loan Fund;Not specified;(870) 793-5233;https://www.wrpdd.org/business-loan-program;72006, 72010, 72012, 72013, 72005, 72014, 72020, 72031, 72141, 72139, 72143, 72153, 72149, 72165, 72169, 72179, 72431, 72121, 72130, 72131, 72136, 72123, 72137, 72459, 72081, 72082, 72080, 72088, 72101, 72102, 72112, 72085, 72036, 72044, 72045, 72051, 72060, 72067, 72059, 72068, 72074, 72471, 72473, 72482, 72501, 72512, 72513, 72519, 72521, 72523, 72524, 72529, 72530, 72531, 72532, 72534, 72536, 72538, 72542, 72543, 72550, 72522, 72527, 72539, 72540, 72515, 72520, 72517, 72533, 72546, 72526, 72528, 72554, 72556, 72560, 72561, 72562, 72564, 72565, 72566, 72568, 72571, 72573, 72576, 72579, 72581, 72583, 72584, 72629, 72663, 72553, 72569, 72577, 72578, 72587, 72555, 72567, 72585, 72680
Commercial Charter Fisheries Loan;Alaska Department of Commerce, Community, and Economic Development;Up to $200,000;Alaska resident for the 24 consecutive months preceding the date of application;Charter halibut permits, loan refinancing on vessels or gear;Alaska (AK);Loan;Not specified;(907) 465-2510;https://www.commerce.alaska.gov/web/ded/FIN/LoanPrograms/CommercialCharterFisheries.aspx;99918, 99919, 99921, 99923, 99925, 99926, 99929, 99927, 99922, 99903, 99502, 99503, 99504, 99506, 99507, 99508, 99515, 99516, 99517, 99518, 99519, 99540, 99546, 99505, 99510, 99513, 99549, 99550, 99552, 99555, 99556, 99557, 99554, 99548, 99547, 99551, 99558, 99559, 99564, 99566, 99567, 99568, 99572, 99573, 99576, 99563, 99565, 99569, 99571, 99561, 99575, 99577, 99586, 99587, 99588, 99580, 99589, 99581, 99578, 99585, 99590, 99603, 99605, 99606, 99714, 99591, 99602, 99604, 99607, 99720, 99723, 99729, 99732, 99734, 99737, 99738, 99741, 99743, 99722, 99730, 99744, 99726, 99740, 99721, 99724, 99727, 99733, 99736, 99739, 99742, 99745, 99746, 99501, 99747, 99752, 99755, 99754, 99748, 99749, 99750, 99751, 99753, 99756, 99757, 99760, 99762, 99766, 99768, 99759, 99765, 99770, 99764, 99767, 99758, 99761, 99763, 99769, 99775, 99777, 99780, 99776, 99782, 99784, 99772, 99771, 99773, 99774, 99778, 99781, 99785, 99789, 99801, 99820, 99824, 99825, 99826, 99827, 99829, 99830, 99832, 99833, 99835, 99840, 99841, 99901, 99790, 99836, 99786, 99788, 99791, 99610, 99611, 99612, 99613, 99615, 99630, 99631, 99627, 99609, 99614, 99620, 99621, 99622, 99625, 99626, 99628, 99632, 99633, 99639, 99641, 99643, 99645, 99649, 99652, 99653, 99654, 99661, 99663, 99664, 99669, 99671, 99672, 99674, 99676, 99678, 99640, 99658, 99662, 99667, 99644, 99648, 99670, 99647, 99655, 99660, 99668, 99634, 99636, 99637, 99638, 99650, 99651, 99656, 99657, 99659, 99665, 99666, 99677, 99683, 99684, 99685, 99686, 99688, 99689, 99692, 99693, 99694, 99701, 99705, 99709, 99712, 99702, 99703, 99679, 99680, 99690, 99695, 99704, 99706, 99681, 99682, 99691
Commercial Fishing Loan Program;Alaska Department of Commerce, Community, and Economic Development;Contact provider;Alaska resident for the past 2 years ;Entry permits, quota shares, vessels, gear, loan refinancing on vessels or gear ;Alaska (AK);Loan;Not specified;(907) 465-2510;https://www.commerce.alaska.gov/web/ded/FIN/LoanPrograms/CommercialFishingLoanProgram.aspx;99918, 99919, 99921, 99923, 99925, 99926, 99929, 99927, 99922, 99903, 99502, 99503, 99504, 99506, 99507, 99508, 99515, 99516, 99517, 99518, 99519, 99540, 99546, 99505, 99510, 99513, 99549, 99550, 99552, 99555, 99556, 99557, 99554, 99548, 99547, 99551, 99558, 99559, 99564, 99566, 99567, 99568, 99572, 99573, 99576, 99563, 99565, 99569, 99571, 99561, 99575, 99577, 99586, 99587, 99588, 99580, 99589, 99581, 99578, 99585, 99590, 99603, 99605, 99606, 99714, 99591, 99602, 99604, 99607, 99720, 99723, 99729, 99732, 99734, 99737, 99738, 99741, 99743, 99722, 99730, 99744, 99726, 99740, 99721, 99724, 99727, 99733, 99736, 99739, 99742, 99745, 99746, 99501, 99747, 99752, 99755, 99754, 99748, 99749, 99750, 99751, 99753, 99756, 99757, 99760, 99762, 99766, 99768, 99759, 99765, 99770, 99764, 99767, 99758, 99761, 99763, 99769, 99775, 99777, 99780, 99776, 99782, 99784, 99772, 99771, 99773, 99774, 99778, 99781, 99785, 99789, 99801, 99820, 99824, 99825, 99826, 99827, 99829, 99830, 99832, 99833, 99835, 99840, 99841, 99901, 99790, 99836, 99786, 99788, 99791, 99610, 99611, 99612, 99613, 99615, 99630, 99631, 99627, 99609, 99614, 99620, 99621, 99622, 99625, 99626, 99628, 99632, 99633, 99639, 99641, 99643, 99645, 99649, 99652, 99653, 99654, 99661, 99663, 99664, 99669, 99671, 99672, 99674, 99676, 99678, 99640, 99658, 99662, 99667, 99644, 99648, 99670, 99647, 99655, 99660, 99668, 99634, 99636, 99637, 99638, 99650, 99651, 99656, 99657, 99659, 99665, 99666, 99677, 99683, 99684, 99685, 99686, 99688, 99689, 99692, 99693, 99694, 99701, 99705, 99709, 99712, 99702, 99703, 99679, 99680, 99690, 99695, 99704, 99706, 99681, 99682, 99691
Mariculture Loan Program;Alaska Department of Commerce, Community, and Economic Development;Up to $100,000;New and existing mariculture operations, must have permitted location, experience in mariculture, and be an Alaska resident for 24 consecutive months preceding the date of application;Planning, construction, and operation of a mariculture business;Alaska (AK);Loan;Not specified;(907) 465-2510;https://www.commerce.alaska.gov/web/ded/FIN/LoanPrograms/Mariculture.aspx;99918, 99919, 99921, 99923, 99925, 99926, 99929, 99927, 99922, 99903, 99502, 99503, 99504, 99506, 99507, 99508, 99515, 99516, 99517, 99518, 99519, 99540, 99546, 99505, 99510, 99513, 99549, 99550, 99552, 99555, 99556, 99557, 99554, 99548, 99547, 99551, 99558, 99559, 99564, 99566, 99567, 99568, 99572, 99573, 99576, 99563, 99565, 99569, 99571, 99561, 99575, 99577, 99586, 99587, 99588, 99580, 99589, 99581, 99578, 99585, 99590, 99603, 99605, 99606, 99714, 99591, 99602, 99604, 99607, 99720, 99723, 99729, 99732, 99734, 99737, 99738, 99741, 99743, 99722, 99730, 99744, 99726, 99740, 99721, 99724, 99727, 99733, 99736, 99739, 99742, 99745, 99746, 99501, 99747, 99752, 99755, 99754, 99748, 99749, 99750, 99751, 99753, 99756, 99757, 99760, 99762, 99766, 99768, 99759, 99765, 99770, 99764, 99767, 99758, 99761, 99763, 99769, 99775, 99777, 99780, 99776, 99782, 99784, 99772, 99771, 99773, 99774, 99778, 99781, 99785, 99789, 99801, 99820, 99824, 99825, 99826, 99827, 99829, 99830, 99832, 99833, 99835, 99840, 99841, 99901, 99790, 99836, 99786, 99788, 99791, 99610, 99611, 99612, 99613, 99615, 99630, 99631, 99627, 99609, 99614, 99620, 99621, 99622, 99625, 99626, 99628, 99632, 99633, 99639, 99641, 99643, 99645, 99649, 99652, 99653, 99654, 99661, 99663, 99664, 99669, 99671, 99672, 99674, 99676, 99678, 99640, 99658, 99662, 99667, 99644, 99648, 99670, 99647, 99655, 99660, 99668, 99634, 99636, 99637, 99638, 99650, 99651, 99656, 99657, 99659, 99665, 99666, 99677, 99683, 99684, 99685, 99686, 99688, 99689, 99692, 99693, 99694, 99701, 99705, 99709, 99712, 99702, 99703, 99679, 99680, 99690, 99695, 99704, 99706, 99681, 99682, 99691
Microloan Program;Alaska Department of Commerce, Community, and Economic Development;Up to $35,000;Alaska resident for the 12 months preceding the date of application;Working capital, equipment, construction, or other commercial purposes;Alaska (AK);Loan - Microloan;Not specified;(907) 465-2510;https://www.commerce.alaska.gov/web/ded/FIN/LoanPrograms/Microloan.aspx;99918, 99919, 99921, 99923, 99925, 99926, 99929, 99927, 99922, 99903, 99502, 99503, 99504, 99506, 99507, 99508, 99515, 99516, 99517, 99518, 99519, 99540, 99546, 99505, 99510, 99513, 99549, 99550, 99552, 99555, 99556, 99557, 99554, 99548, 99547, 99551, 99558, 99559, 99564, 99566, 99567, 99568, 99572, 99573, 99576, 99563, 99565, 99569, 99571, 99561, 99575, 99577, 99586, 99587, 99588, 99580, 99589, 99581, 99578, 99585, 99590, 99603, 99605, 99606, 99714, 99591, 99602, 99604, 99607, 99720, 99723, 99729, 99732, 99734, 99737, 99738, 99741, 99743, 99722, 99730, 99744, 99726, 99740, 99721, 99724, 99727, 99733, 99736, 99739, 99742, 99745, 99746, 99501, 99747, 99752, 99755, 99754, 99748, 99749, 99750, 99751, 99753, 99756, 99757, 99760, 99762, 99766, 99768, 99759, 99765, 99770, 99764, 99767, 99758, 99761, 99763, 99769, 99775, 99777, 99780, 99776, 99782, 99784, 99772, 99771, 99773, 99774, 99778, 99781, 99785, 99789, 99801, 99820, 99824, 99825, 99826, 99827, 99829, 99830, 99832, 99833, 99835, 99840, 99841, 99901, 99790, 99836, 99786, 99788, 99791, 99610, 99611, 99612, 99613, 99615, 99630, 99631, 99627, 99609, 99614, 99620, 99621, 99622, 99625, 99626, 99628, 99632, 99633, 99639, 99641, 99643, 99645, 99649, 99652, 99653, 99654, 99661, 99663, 99664, 99669, 99671, 99672, 99674, 99676, 99678, 99640, 99658, 99662, 99667, 99644, 99648, 99670, 99647, 99655, 99660, 99668, 99634, 99636, 99637, 99638, 99650, 99651, 99656, 99657, 99659, 99665, 99666, 99677, 99683, 99684, 99685, 99686, 99688, 99689, 99692, 99693, 99694, 99701, 99705, 99709, 99712, 99702, 99703, 99679, 99680, 99690, 99695, 99704, 99706, 99681, 99682, 99691
Small Business Economic Development Loan ;Alaska Department of Commerce, Community, and Economic Development;Up to $300,000;Small businesses with fewer than 500 employees and communities in Alaska with a population of 30,000 or less;Fixed assets, working capital;Alaska (AK);Loan - Revolving Loan Fund;Not specified;(907) 465-2510;https://www.commerce.alaska.gov/web/ded/FIN/LoanPrograms/SmallBusinessDevelopment.aspx;99918, 99919, 99921, 99923, 99925, 99926, 99929, 99927, 99922, 99903, 99502, 99503, 99504, 99506, 99507, 99508, 99515, 99516, 99517, 99518, 99519, 99540, 99546, 99505, 99510, 99513, 99549, 99550, 99552, 99555, 99556, 99557, 99554, 99548, 99547, 99551, 99558, 99559, 99564, 99566, 99567, 99568, 99572, 99573, 99576, 99563, 99565, 99569, 99571, 99561, 99575, 99577, 99586, 99587, 99588, 99580, 99589, 99581, 99578, 99585, 99590, 99603, 99605, 99606, 99714, 99591, 99602, 99604, 99607, 99720, 99723, 99729, 99732, 99734, 99737, 99738, 99741, 99743, 99722, 99730, 99744, 99726, 99740, 99721, 99724, 99727, 99733, 99736, 99739, 99742, 99745, 99746, 99501, 99747, 99752, 99755, 99754, 99748, 99749, 99750, 99751, 99753, 99756, 99757, 99760, 99762, 99766, 99768, 99759, 99765, 99770, 99764, 99767, 99758, 99761, 99763, 99769, 99775, 99777, 99780, 99776, 99782, 99784, 99772, 99771, 99773, 99774, 99778, 99781, 99785, 99789, 99801, 99820, 99824, 99825, 99826, 99827, 99829, 99830, 99832, 99833, 99835, 99840, 99841, 99901, 99790, 99836, 99786, 99788, 99791, 99610, 99611, 99612, 99613, 99615, 99630, 99631, 99627, 99609, 99614, 99620, 99621, 99622, 99625, 99626, 99628, 99632, 99633, 99639, 99641, 99643, 99645, 99649, 99652, 99653, 99654, 99661, 99663, 99664, 99669, 99671, 99672, 99674, 99676, 99678, 99640, 99658, 99662, 99667, 99644, 99648, 99670, 99647, 99655, 99660, 99668, 99634, 99636, 99637, 99638, 99650, 99651, 99656, 99657, 99659, 99665, 99666, 99677, 99683, 99684, 99685, 99686, 99688, 99689, 99692, 99693, 99694, 99701, 99705, 99709, 99712, 99702, 99703, 99679, 99680, 99690, 99695, 99704, 99706, 99681, 99682, 99691
